MOF_name,"Dos at Fermi energy, eln/cell",Band_gap,"Dos at VBM, eln/cell","Dos at CBM, eln/cell",HSE band gap,LCD,"PLD, Å",Density (g/cm3),Accessible Surface Area (m2/cm3),Accessible Surface Area (m2/g),Volume Fraction,Criteria#,Multiplier_Sum,Space_group#,Space_group,Temp,Zprime,Year,Metal,Metal 2,Metal 3,Metals number,Cell volume,Metal density,Crit: metal,Crit: redox match,Crit: redox active linker,Crit: pi-pi stacking,without ions,2D,1aromatico-up,2aromatici-up,N3--NCN up,benzene,6m-rings,pyridine,pyrimidine,metal-S,metal-O,metal-N,metal-halogen,5m-ring-leg2met,5-m-rings,CN-M,M-h2o,M-H2O-M,M-N-NM-N-M,M-C-C-TRIANG,COOM
DUYHAI,13.6494,0.156769134,13.6494,13.6494,not found,0.493333,none,1.132,none,none,none,3,19,138,P42/ncm,298,0.25,2011,Ni,,,1,7757.791,0.000515611,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no
PAXWIV,12.1672,0.110560667,12.1672,12.1672,not found,2.61898,1.47023,1.652,0,0,0.32466,2,1,2,P-1,293,1,2007,Cu,,,1,586.471,0.003410228,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
GIDCEB,26.8011,0.001252812,26.8011,26.8011,3.2,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Cu,,,1,not found,not found,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
BIXCOC,10.7355,0.151804961,10.7355,10.7355,not found,2.54276,1.42254,1.525,0,0,0.3256,2,1,15,C2/c,293,0.5,2017,Co,,,1,1584.833,0.001261963,no,yes,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes
FIRNEZ,10.3595,0.126345174,10.3595,10.3595,not found,4.23458,1.54476,1.675,0,0,0.41766,2,1,14,P21/c,200,1,2016,Cu,,,1,1719.703,0.001162992,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no
OCACEB,9.2304,0.11263363,9.2304,9.2304,not found,2.12531,1.11329,1.553,0,0,0.32934,3,1,23,I222,240,0.25,2002,Co,,,1,917.768,0.0010896,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
SIYBEH,8.595,0.155544894,8.595,8.595,not found,1.70725,0.93587,1.796,0,0,0.29432,2,1,14,P21/c,291,1,2016,Cu,,,1,890.031,0.001123556,yes,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
GUZBUY,7.4853,0.113883177,7.4853,7.4853,not found,1.38529,0.92738,2.497,0,0,0.24936,2,1,2,P-1,180,1,2013,Co,,,1,1034.604,0.000966553,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
FUVYUR,6.7547,0.124048534,6.7547,6.7547,not found,3.5142,1.38047,1.852,0,0,0.39576,2,1,14,P21/c,173,0.5,2008,Cu,,,1,1112.144,0.001798328,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
CIFFON,6.5391,0.111501093,6.5391,6.5391,not found,3.968,1.60026,2.771,0,0,0.40984,2,1,64,Cmca,295,0.5,1999,Pb,,,1,1563.777,0.001278955,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
XUVDEZ,6.12,0.200080404,6.12,6.12,not found,3.07127,2.00851,1.526,0,0,0.34508,2,3,13,P2/c,291,0.5,2017,Fe,,,1,2437.473,0.000820522,yes,yes,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no
NIVXEY,5.6178,0.114867685,5.6178,5.6178,not found,0.486667,none,1.576,none,none,none,2,1,61,Pbca,273,1,2012,Fe,,,1,2310.527,0.000865603,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
QEKGOC,5.3484,0.188901968,5.3484,5.3484,2.4,6.2895,2.46316,1.61,0,0,0.5013,2,1,14,P21/c,123,1,2012,Fe,,,1,1547.49,0.001292415,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
PUXZAK,4.8944,0.11286275,4.8944,4.8944,not found,1.81544,0.96001,1.989,0,0,0.26146,2,1,61,Pbca,293,1,2003,Co,,,1,873.438,0.001144901,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
NIVXAU,4.8831,0.135048735,4.8831,4.8831,not found,0.5,none,1.471,none,none,none,2,1,61,Pbca,296,1,2012,Fe,,,1,1314.591,0.000760693,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
FIRNOJ,4.5543,0.13316598,4.5543,4.5543,not found,4.6347,2.1004,1.79,0,0,0.4526,2,2,2,P-1,173,1,2006,Cu,,,1,1825.198,0.001095772,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no
BUKJEY,4.0391,0.124223231,4.0391,4.0391,not found,5.96216,4.66473,1.638,1987.04,2123.64,0.72406,2,1,13,P2/c,110,0.5,2014,Cu,,,1,1743.084,0.000573696,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no
KEPMIC,3.8631,0.137935863,3.8631,3.8631,not found,2.25762,1.14258,1.607,0,0,0.3061,3,1,14,P21/c,273,0.5,2008,Co,,,1,1534.481,0.000651686,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
LAMXOO,3.8334,0.12291518,3.8334,3.8334,not found,2.05285,1.15956,1.723,0,0,0.28262,3,5,136,P42/mnm,213,0.13,2007,Co,,,1,622.841,0.001605546,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
KEPNEZ,3.1822,0.178334155,3.1822,3.1822,not found,2.36249,1.09577,1.554,0,0,0.3112,3,10,176,P63/m,298,0.17,2006,Co,,,1,1706.479,0.000586002,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
NODQOO,3.1006,0.20131689,3.1006,3.1006,not found,2.40568,1.33158,1.738,0,0,0.31136,2,5,2,P-1,295,1,1999,Co,,,1,1070.571,0.001868162,no,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
ROLYUN,3.0659,0.113476367,3.0659,3.0659,not found,1.71961,1.20379,2.01,0,0,0.29608,3,1,14,P21/c,100,0.5,2019,Co,,,1,376.721,0.005308969,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
BADQII,2.9323,0.111412111,2.9323,2.9323,not found,4.28383,3.13197,1.815,0,0,0.52206,2,1,14,P21/c,173,1,2011,Cu,,,1,1675.738,0.000596752,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
VECYOS,2.8941,0.118583672,2.8941,2.8941,not found,4.16974,2.48031,2.155,0,0,0.50834,2,1,5,C2,293,0.5,2017,Ag,,,1,1078.876,0.000926891,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no
EBAVIO,2.6834,0.112971324,2.6834,2.6834,not found,4.08148,1.52853,1.779,0,0,0.41044,2,2,9,Cc,130,1,2015,Cu,,,1,1283.599,0.00077906,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
FOXHEF10,2.444,0.160892203,2.444,2.444,not found,2.31262,1.2255,1.558,0,0,0.33202,2,2,29,Pca21,293,1,2014,Fe,,,1,906.053,0.002207376,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
HENTOJ,2.3782,0.171104091,2.3782,2.3782,not found,2.57298,1.26202,1.957,0,0,0.3775,2,3,14,P21/c,293,1,2010,Cu,,,1,816.838,0.001224233,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
YOXDOF,2.3234,0.110677132,2.3234,2.3234,not found,1.08,none,1.932,none,none,none,2,12,193,P63/mcm,298,0.08,2009,Ni,,,1,438.177,0.002282183,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
OXUPOO,2.316,0.201412674,2.316,2.316,not found,0.673333,none,2.014,none,none,none,2,8,141,I41/amd,293,0.13,2005,Cu,,,1,1446.31,0.002765659,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no
QQQDMP01,2.1718,0.173552843,2.1718,2.1718,not found,4.42547,3.90259,1.802,869.519,832.179,0.5863,2,5,64,Cmca,250,0.25,2019,Co,,,1,1264.944,0.000790549,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
XUYNOW,2.0149,0.108512466,2.0149,2.0149,not found,1.22,none,1.604,none,none,none,2,1,157,P31m,208,0.17,2006,Co,,,1,789.097,0.001267271,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no
WUKSOM,1.795,0.158420865,1.795,1.795,not found,0.386667,none,2.637,none,none,none,2,1,15,C2/c,298,0.5,2012,Fe,,,1,1082.297,0.001847922,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no
ESOSUB,1.7899,0.231254309,1.7899,1.7899,not found,2.33881,1.18801,2.364,0,0,0.3042,4,1,68,Ccca,295,0.25,1995,Tl,,,1,1148.048,0.000871044,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no
YUGJUF,1.7848,0.194757041,1.7848,1.7848,not found,6.89241,4.60653,1.374,1696.73,1960.72,0.60612,2,1,2,P-1,115,1,2001,Ti,,,1,5007.043,0.000399437,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EHAXUG,1.7773,0.161451397,1.7773,1.7773,not found,1.21135,0.50952,3.039,0,0,0.11086,2,3,2,P-1,296,0.5,2017,Fe,,,1,281.65,0.003550506,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
FULLEE,9.6064,0.00619195,9.6064,9.6064,not found,0.313333,none,2.119,none,none,none,2,1,14,P21/c,293,1,2019,Co,,,1,189.685,0.005271898,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
WUKSOM,1.6898,0.159870687,1.6898,1.6898,not found,0.386667,none,2.637,none,none,none,2,1,15,C2/c,298,0.5,2012,Fe,,,1,1082.297,0.001847922,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no
