MOF_name,"Dos at Fermi energy, eln/cell",Band_gap,"Dos at VBM, eln/cell","Dos at CBM, eln/cell",HSE band gap,LCD,"PLD, Å",Density (g/cm3),Accessible Surface Area (m2/cm3),Accessible Surface Area (m2/g),Volume Fraction,Criteria#,Multiplier_Sum,Space_group#,Space_group,Temp,Zprime,Year,Metal,Metal 2,Metal 3,Metals number,Cell volume,Metal density,Crit: metal,Crit: redox match,Crit: redox active linker,Crit: pi-pi stacking,without ions,2D,1aromatico-up,2aromatici-up,N3--NCN up,benzene,6m-rings,pyridine,pyrimidine,metal-S,metal-O,metal-N,metal-halogen,5m-ring-leg2met,5-m-rings,CN-M,M-h2o,M-H2O-M,M-N-NM-N-M,M-C-C-TRIANG,COOM
WOZPEI,0.003,2.187435493,57.74868983,0,not found,2.37231,1.09581,2.66,0,0,0.32792,2,1,14,P21/c,293,0.5,2011,Cu,,,1,1386.66,0.001442315,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no
OGAXAX,0.0028,0.868788723,14.15253037,1.94297E-10,not found,1.98528,1.06632,1.832,0,0,0.31162,2,1,14,P21/n,150,0.5,1999,Cu,,,1,3752.567,0.001065937,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
EKINUH,0.0028,0.613929355,14.82988148,0.000181652,not found,1.67091,1.11897,2.579,0,0,0.30284,3,1,62,Pnma,100,0.5,2011,Cu,,,1,358.107,0.005584923,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
EKINUH01,0.0028,0.61394677,14.84464467,0.000170703,not found,0.673333,none,2.571,none,none,none,3,2,229,Im-3m,293,0.5,2016,Cu,,,1,359.251,0.005567138,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
TIYZOT,0.0026,1.392847315,66.90393894,0,not found,0.5,none,2.696,none,none,none,2,2,63,Cmcm,100,0.25,2014,Cu,,,1,2084.021,0.001439525,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
NIDMEU,0.0022,0.377880944,35.71486651,21.3711837,not found,2.63847,1.5771,1.585,0,0,0.31952,2,2,12,C2/m,293,0.5,2017,Fe,,,1,3185.779,0.00062779,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
HAXNEB,0.0021,0.268563021,3.530624861,5.581986662,not found,2.54041,1.6145,1.785,0,0,0.32518,2,3,2,P-1,173,1,1999,Cu,,,1,737.932,0.002710277,no,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NIYXAX,0.0018,0.318625164,9.766834347,8.495705835,not found,0.46,none,1.958,none,none,none,2,2,15,C2/c,100,0.5,2018,Fe,,,1,617.726,0.001618841,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
PUNZEE,0.0012,0.336866859,17.17764043,13.09935337,not found,3.21898,1.6864,2.066,0,0,0.33502,2,1,2,P-1,293,1,2010,Ni,,,1,678.761,0.002946545,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no
JEXTUE,0.0012,1.486050112,18.47510649,0,not found,0.406667,none,1.66,none,none,none,2,1,186,P63mc,150,0.25,1999,Ni,,,1,726.21,0.002754024,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
MUHQAH,0.0012,0.793448294,20.15658895,5.38625E-12,not found,2.54082,1.30862,1.766,0,0,0.35976,2,4,2,P-1,143,1,2006,Cu,,,1,3116.611,0.000320861,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
OPITOY,0.001,1.387011561,40.67364809,0,not found,0.386667,none,4.889,none,none,none,2,2,14,P21/n,293,0.5,2003,W,,,1,723.859,0.002762969,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
BUKHAS,0.0009,1.229315336,0.445158693,0,not found,4.643,3.77247,1.639,248.207,168.213,0.41972,3,2,227,Fd-3m,300,0.04,2018,Cu,,,1,744.506,0.001343173,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no
QUKVEY,0.0008,0.351604544,0.804335449,0.958190551,not found,3.30711,3.01418,1.768,0,0,0.5025,2,3,2,P-1,295,1,1998,Fe,,,1,319.485,0.003130037,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
DEHRIR,0.0005,0.360157354,20.05199179,6.890036329,not found,1.917,0.93597,2.041,0,0,0.2734,3,1,62,Pnma,296,0.5,2011,Ag,,,1,2031.498,0.000492248,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no
UWEBAB,0.0004,0.353645126,5.116965155,12.08998827,not found,0.486667,none,2.285,none,none,none,2,1,14,P21/c,295,0.5,1999,Ni,,,1,397.595,0.005030244,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no
XUJCUB,0.0004,0.362743796,16.09624836,27.69755714,not found,2.61148,2.43083,1.899,0,0,0.31578,2,2,14,P21/n,293,1,2017,Ni,,,1,754.771,0.001324905,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
IQOZUJ,0.0003,0.35918754,23.97535717,18.78817817,not found,1.16667,none,1.474,none,none,none,2,1,14,P21/c,100,0.5,2017,Co,,,1,4175.031,0.000239519,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no
NERKON,0.0003,1.574904259,6.876701602,0,not found,0.4,none,2.516,none,none,none,2,9,2,P-1,123,0.5,2016,Ag,,,1,1287.851,0.000776487,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no
HEWRUW01,0.0003,0.314640601,1.143500002,3.086611966,not found,0.72,none,2.658,none,none,none,3,1,122,I-42d,295,0.25,2000,Cu,,,1,291.781,0.003427228,yes,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
MIXGEI,0.0002,0.380171054,24.40187113,43.50668616,not found,1.72,none,1.714,none,none,none,2,9,148,R-3,100,1,2017,Fe,,,1,6049.012,0.000330633,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
NOCDOY,0.0002,0.37214424,32.24835411,14.76104205,not found,2.22578,1.22259,1.661,0,0,0.32762,2,2,14,P21/c,123,1,2006,Ni,,,1,2416.421,0.000413835,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no
YILZOL,0.0002,0.350392549,11.37890312,9.85928586,not found,0.786667,none,1.87,none,none,none,3,1,2,P-1,150,1,1995,Ni,,,1,833.39,0.002399837,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
NIVVIA,0.0001,0.397968387,46.95187982,28.2973025,not found,0.313333,none,1.434,none,none,none,2,1,74,Imma,296,0.25,2017,Fe,,,1,5080,0.00019685,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
NELJUJ,0.0001,0.354864468,2.749232353,2.260740492,not found,2.24494,1.48318,1.449,0,0,0.35194,2,1,2,P-1,100,1,2010,Co,,,1,386.576,0.002586813,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
BISVUW,0.0001,0.355944215,1.589568355,1.993996999,not found,1.59719,0.68562,2.714,0,0,0.22042,3,1,2,P-1,150,0.5,2018,Ag,,,1,575.004,0.001739118,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no
LULVIY,0.0001,0.362836042,3.103860308,6.511388812,not found,2.47333,none,1.96,none,none,none,4,1,19,P212121,100,1,2013,Ni,,,1,336.411,0.002972554,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
AQOFUI,0,3.967704607,12.82076403,15.59918028,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Cd,,,1,not found,not found,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
BANTIV02,0,2.091193184,29.71260355,18.3290062,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Fe,,,1,not found,not found,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
BINRUO,0,2.644225912,3.005052952,6.064920617,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Na,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
DEYXEN,0,0.269259088,6.97939E-09,0,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Cu,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EREHUG,0,2.575786834,14.81430662,5.420524908,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Ag,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
FEJGAD01,0,2.017791566,17.4782465,17.80336334,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Sn,,,1,not found,not found,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
FUGCAL,0,2.609879432,4.671003905,2.022954401,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Pb,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
GADSAI,0,1.670306281,2.996550394,11.82647583,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Ca,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
GEKJUB,0,4.39044651,6.835851473,3.650647531,5.9,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Na,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
GEZRIP,0,2.314555376,9.379097252,4.161119687,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Ca,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
GOXBOM,0,3.392302217,33.61604363,22.91956695,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Cd,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HEBLEH,0,1.474056423,3.124324297,2.384353264,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,U,,,1,not found,not found,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HIPZEM,0,1.771508409,4.753397493,11.97461648,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Ag,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
KOMGUP,0,3.919484131,65.44612999,8.570636894,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Zn,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
LAYZIX,0,4.408373098,4.904664165,1.918277232,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Lu,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NAFHAE,0,3.654736418,15.33025022,3.344875338,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Zn,,,1,not found,not found,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NAXWAL,0,2.570727421,19.07835506,3.093155865,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Hg,,,1,not found,not found,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NESDUK,0,2.708720972,27.66651086,13.11698837,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Ag,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
OXUNUR,0,2.369611351,11.55013013,5.451094419,4.2,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Zn,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
PARPIK,0,0.567186185,0.000155064,0,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Cu,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
PODZOY,0,3.352709382,8.666682715,14.57809102,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Zn,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
POVFUE01,0,2.99630475,27.34305201,40.64644602,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Zn,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
PUZJIF,0,2.679978132,5.436562175,2.427609103,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Mg,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
REFLIZ,0,2.34354203,7.774597475,11.0324676,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Zn,,,1,not found,not found,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
UNIRUF13,0,4.194366451,1.72546288,2.268155207,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Li,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
VUZQEP,0,4.222357713,12.91459863,37.9328344,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Zn,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
WUQZOY,0,4.785936213,9.506126794,10.69866274,6.5,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Na,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MOKQAG,0,2.695288889,4.493557526,1.182369759,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Pb,,,1,not found,not found,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
COWRUD,0,0.661433356,1.00511E-05,1.566638106,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Co,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
DIRXEK,0,4.139334966,10.19802005,21.23861381,not found,0.52,none,2.117,none,none,none,2,1,20,C2221,293,0.5,2016,Rb,,,1,695.043,0.00143876,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no
PEMNOL,0,2.672180166,48.11149966,32.11451101,not found,1.76924,0.78428,2.739,0,0,0.24164,2,5,101,P42cm,298,0.13,2019,Ag,,,1,1156.426,0.001729466,no,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
NOBNOK,0,2.658658558,12.3034991,6.818995259,not found,0.56,none,3.662,none,none,none,2,2,14,P21/c,123,1,2006,Ag,,,1,949.774,0.002105764,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no
WEZCAH,0,2.648871439,3.512961635,2.552460857,not found,1.6987,1.19285,2.884,0,0,0.2944,2,3,2,P-1,123,0.5,2009,Pb,,,1,869.16,0.001150536,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
PAHVOK01,0,2.640180123,5.693396211,3.971973887,not found,2.05166,0.96776,2.277,0,0,0.2966,2,1,135,P42/mbc,295,0.25,2000,Ag,,,1,459.494,0.002176307,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
RAWTUF,0,2.56176644,3.842170025,1.379506778,not found,2.17906,1.00119,2.148,0,0,0.31626,2,1,12,C2/m,123,0.25,2011,Ag,,,1,429.774,0.002326804,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
CIFFIH,0,2.405069417,6.593764434,3.425506596,not found,2.19507,0.99757,2.683,0,0,0.29382,2,1,14,P21/c,293,0.5,2012,Pb,,,1,613.124,0.001630991,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
NEYVUK,0,2.360116483,14.49778207,18.8226169,not found,0.413333,none,2.397,none,none,none,2,2,15,C2/c,150,0.5,2005,Ag,,,1,2339.437,0.002992173,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no
QIYSAU,0,2.166187212,9.165194367,22.45488252,not found,2.26843,0.95899,3.664,0,0,0.2572,2,1,2,P-1,120,0.5,2013,Pb,,,1,2229.12,0.001345823,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
IFOHAN,0,2.144633892,10.55188911,8.150380922,not found,2.31175,1.02101,2.74,0,0,0.27562,2,1,14,P21/n,293,0.5,2010,Pb,,,1,1001.91,0.000998094,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
YIYQED,0,2.142908146,24.14416724,26.44578424,not found,1.75023,1.13943,2.615,0,0,0.28838,2,1,14,P21/n,294,1,2008,Pb,,,1,2079.779,0.00048082,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
OPITUE,0,2.132916942,3.418256375,2.962820996,not found,0.44,none,3.255,none,none,none,2,2,14,P21/n,293,0.5,2003,Mo,,,1,728.459,0.001372761,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
IFOHAN01,0,2.108902624,9.552905699,6.863577165,not found,2.30808,1.01385,2.74,0,0,0.27628,2,1,15,C2/c,298,0.5,2002,Pb,,,1,1002.108,0.000997896,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
YIYQIH01,0,2.047655243,16.16697172,8.475193021,not found,0.473333,none,2.615,none,none,none,2,4,74,Imma,296,0.25,2014,Pb,,,1,1090.699,0.001833686,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
CUJZAJ,0,1.987647067,4.91997146,8.386874983,not found,1.76898,1.25984,2.504,0,0,0.24738,2,5,14,P21/n,150,0.5,2006,Ag,,,1,702.935,0.002845213,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
IBEWAN,0,1.979879033,3.85178328,1.706704786,not found,1.59623,0.71602,3.26,0,0,0.21814,2,1,2,P-1,100,1,2015,Mo,,,1,727.335,0.001374882,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
IWESUZ,0,1.979233579,1.594126998,2.915112253,not found,1.6756,1.2948,2.461,0,0,0.27366,2,2,2,P-1,273,1,2007,Ag,,,1,357.653,0.005592012,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
KETPIJ,0,1.910511231,40.64475526,38.93483319,not found,6.48447,1.6284,1.896,0,0,0.46902,2,3,14,P21/c,173,1,1999,Ag,,,1,4465.289,0.001119748,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
ARIPAT,0,1.815865685,5.555977837,6.542251513,not found,2.03262,1.07769,2.576,0,0,0.28724,2,1,2,P-1,293,1,2003,Ag,,,1,2082.99,0.000960158,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
KEBBAW,0,1.753186985,9.309584659,9.880324657,not found,1.82561,1.2398,2.884,0,0,0.27972,2,1,14,P21/c,295,1,2001,Tl,,,1,807.28,0.001238728,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no
PEPTUA,0,1.488733155,14.82546535,7.279023169,not found,1.98835,0.884,3.086,0,0,0.2256,2,1,61,Pbca,293,1,2019,Mo,Ag,,2,1149.244,0.005220823,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
LADJAE,68.0071,0.000683006,68.0071,68.0071,not found,1.82667,none,1.452,none,none,none,2,1,14,P21/c,293,1,2003,Co,,,1,3679.305,0.00027179,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
QANDUH,0,1.454029661,62.13286552,33.0855912,not found,0.433333,none,3.236,none,none,none,2,1,2,P-1,150,1,2017,Ag,,,1,2999.331,0.002667261,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no
CUWRAO,0,1.426343439,2.439160414,5.365275223,not found,2.04712,1.02618,2.951,0,0,0.28114,2,3,13,P2/n,293,0.5,2007,Ag,Nb,,2,1678.434,0.001191587,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
SODBOC,0,1.283339728,26.87733298,6.580281963,not found,9.03753,8.88917,2.472,1272.02,1029.01,0.63368,2,1,12,C2/m,298,0.25,2005,Ag,,,1,1343.106,0.001489086,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
QOXLEV,0,1.275285158,24.90368577,29.97218673,not found,2.41508,1.16034,1.672,0,0,0.31324,2,1,14,P21/c,293,0.5,2019,Ni,,,1,1366.554,0.000731768,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
BACSAC,0,1.269698661,23.94860845,13.15236281,not found,0.28,none,2.284,none,none,none,2,1,63,Cmcm,298,0.25,2002,Ag,,,1,1745.245,0.001145971,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no
REKBAL,0,1.204432158,13.35730636,24.69805312,not found,1.80476,0.82979,2.986,0,0,0.21316,2,1,33,Pna21,293,1,2007,Mo,Cu,,2,1088.862,0.00551034,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HUCKEV,0,1.172013604,34.60784623,27.42148454,not found,1.71153,1.06101,2.273,0,0,0.26176,2,1,15,C2/c,296,0.5,2019,Ag,,,1,1069.244,0.00093524,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
DOFWIF,0,1.158690639,14.73552847,21.60294646,not found,2.1192,1.4326,1.658,0,0,0.30982,2,1,61,Pbca,293,1,2015,Ni,,,1,743.066,0.001345775,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
RORQOE,0,1.098887365,7.068914295,3.083342817,not found,1.3648,0.72002,3.674,0,0,0.1589,2,2,12,C2/m,293,0.5,2011,Ag,,,1,382.094,0.002617157,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
TUHGUA,0,1.051894667,35.74277925,37.56190137,not found,2.82197,0.98131,2.426,0,0,0.29462,2,1,13,P2/c,298,1,2010,Cu,V,,2,1355.976,0.005899809,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
HAYZOY,0,1.022038881,19.09426752,8.864375894,not found,1.54708,1.02731,2.693,0,0,0.21282,2,1,14,P21/c,293,0.5,2009,Ag,,,1,1287.538,0.001553352,no,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
ECAWIQ,0,0.977304183,29.68929877,22.92234895,not found,1.9837,0.87309,1.879,0,0,0.305,2,2.5,2,P-1,296,1,2011,Cu,,,1,875.687,0.001141961,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
IWEQIL,0,0.965548321,31.20007249,20.42905374,not found,2.64606,1.27029,2.03,0,0,0.29596,2,1,2,P-1,295,0.5,1994,Ni,,,1,2191.278,0.000456355,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes
VEWHIP,0,0.948222017,2.526197588,1.104281819,not found,1.58024,0.92153,2.836,0,0,0.26362,2,3,14,P21/c,296,0.5,2012,Cu,,,1,301.711,0.00331443,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no
LATKOJ,0,0.882289651,6.326067117,4.620280048,not found,1.06,none,1.651,none,none,none,2,1,4,P21,293,1,2003,Ni,,,1,679.703,0.001471231,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no
ZOJYEF,0,0.806682822,92.49271368,53.2208002,not found,0.406667,none,1.585,none,none,none,2,1,54,Pcca,293,0.5,2007,Fe,,,1,2657.922,0.000376234,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no
PEPVAI,0,0.80591274,29.33015744,13.7812296,not found,3.08356,2.28887,2.609,0,0,0.3236,2,1,14,P21/c,293,1,2008,Mo,Cu,,2,1190.488,0.00503995,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
GASJES,0,0.769711804,4.676843943,4.869374375,not found,0.42,none,1.943,none,none,none,2,4,140,I4/mcm,293,0.13,2011,Cs,,,1,769.053,0.0013003,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no
